Date,Close/Last,Volume,Open,High,Low
03/19/2024,515.71,60755260,512.15,515.995,511.12
03/18/2024,512.86,88893330,514.00,515.48,512.44
03/15/2024,509.83,107646300,510.21,511.70,508.122
03/14/2024,514.95,110171800,516.97,517.125,511.82
03/13/2024,515.97,55104090,517.11,517.29,514.49
03/12/2024,516.78,73114440,513.45,517.38,510.86
03/11/2024,511.28,62557180,510.48,511.88,508.50
03/08/2024,511.72,86532540,515.46,518.2201,511.13
03/07/2024,514.81,58652090,513.14,515.89,509.8053
03/06/2024,509.75,68382370,510.55,512.069,508.42
03/05/2024,507.18,72855620,510.24,510.70,504.91
03/04/2024,512.30,49799260,512.03,514.20,512.00
03/01/2024,512.85,76844840,508.98,513.29,508.56
02/29/2024,508.08,83924800,508.07,509.74,505.35
02/28/2024,506.26,56506630,505.33,506.855,504.96
02/27/2024,506.93,48854530,506.70,507.16,504.75
02/26/2024,505.99,50386740,508.30,508.75,505.86
02/23/2024,507.85,61321820,509.27,510.13,507.10
02/22/2024,507.50,76402540,504.01,508.49,503.02
02/21/2024,497.21,59603770,495.42,497.37,493.56
02/20/2024,496.76,71736740,497.72,498.41,494.45
02/16/2024,499.51,75532930,501.70,502.87,498.75
02/15/2024,502.01,61682960,499.29,502.20,498.795
02/14/2024,498.57,68387830,496.79,499.07,494.40
02/13/2024,494.08,113099200,494.53,497.09,490.715
02/12/2024,500.98,56502280,501.17,503.50,500.24
02/09/2024,501.20,63979380,498.84,501.65,498.49
02/08/2024,498.32,52343640,498.10,498.71,497.26
02/07/2024,498.10,70556510,496.29,498.53,495.36
02/06/2024,493.98,55918600,493.52,494.32,492.05
02/05/2024,492.55,75757100,493.695,494.3778,490.23
02/02/2024,494.35,99228190,489.65,496.05,489.30
02/01/2024,489.20,91891640,484.63,489.23,483.80
01/31/2024,482.88,126011100,488.62,489.0813,482.86
01/30/2024,490.89,58618390,490.56,491.62,490.11
01/29/2024,491.27,61322750,487.73,491.415,487.17
01/26/2024,487.41,76641610,487.59,489.12,486.54
01/25/2024,488.03,72524990,487.575,488.305,485.39
01/24/2024,485.39,81765040,487.81,488.77,484.8819
01/23/2024,484.86,49945300,484.01,485.105,482.89
01/22/2024,483.45,75844930,484.01,485.22,482.78
01/19/2024,482.43,110834500,477.65,482.72,476.5374
01/18/2024,476.49,91856250,474.01,477.06,472.42
01/17/2024,472.29,68843870,471.82,472.79,469.87
01/16/2024,474.93,85014870,475.26,476.6098,473.06
01/12/2024,476.68,58026420,477.84,478.60,475.23
01/11/2024,476.35,77940720,477.59,478.12,472.26
01/10/2024,476.56,67310640,474.16,477.4481,473.87
01/09/2024,473.88,65931440,471.87,474.93,471.35
01/08/2024,474.60,74879070,468.43,474.75,468.30
01/05/2024,467.92,86118910,467.49,470.44,466.43
01/04/2024,467.28,84232170,468.30,470.96,467.05
01/03/2024,468.79,103585900,470.43,471.19,468.17
01/02/2024,472.65,123007800,472.16,473.67,470.49
12/29/2023,475.31,122283100,476.49,477.03,473.30
12/28/2023,476.69,77158120,476.88,477.55,476.26
12/27/2023,476.51,68000310,475.44,476.66,474.89
12/26/2023,475.65,55386950,474.07,476.58,473.99
12/22/2023,473.65,67160420,473.86,475.38,471.70
12/21/2023,472.70,86667470,471.33,472.975,468.84
12/20/2023,468.26,102921000,473.96,475.895,467.82
12/19/2023,474.84,55761810,472.53,474.92,472.45
12/18/2023,471.97,70375290,470.98,472.98,469.8929
12/15/2023,469.33,141553700,469.49,470.70,467.4263
12/14/2023,472.01,119026000,472.50,473.73,469.25
12/13/2023,470.50,93277960,464.49,470.7599,464.12
12/12/2023,464.10,68327620,461.63,464.20,460.60
12/11/2023,461.99,65002250,459.69,462.17,459.47
12/08/2023,460.20,83194400,457.46,460.745,457.21
12/07/2023,458.23,66995450,456.91,458.90,456.29
12/06/2023,454.76,69124690,458.81,458.84,454.31
12/05/2023,456.60,69793470,455.26,457.59,454.87
12/04/2023,456.69,72430890,455.60,459.1206,454.34
12/01/2023,459.10,89183400,455.77,459.65,455.16
11/30/2023,456.40,79752700,455.48,456.76,453.34
11/29/2023,454.61,63145990,457.15,458.32,454.20
11/28/2023,454.93,62115010,454.08,456.27,453.50
11/27/2023,454.48,50505990,454.65,455.4901,454.0799
11/24/2023,455.30,29737380,455.07,455.50,454.73
11/22/2023,455.02,59446570,454.98,456.38,453.8895
11/21/2023,453.27,49244640,453.1842,454.131,451.9599
11/20/2023,454.26,70055630,450.53,455.125,450.52
11/17/2023,450.79,83193900,450.24,451.42,449.29
11/16/2023,450.23,66665800,449.22,450.56,448.12
11/15/2023,449.68,77327570,450.11,451.38,448.80
11/14/2023,448.73,97176940,446.32,450.06,446.09
11/13/2023,440.19,52236070,439.23,441.33,438.42
11/10/2023,440.61,89558050,435.98,440.93,433.8335
11/09/2023,433.84,83174420,438.43,438.47,433.40
11/08/2023,437.25,61746030,437.55,438.09,434.87
11/07/2023,436.93,64256110,435.69,437.585,434.51
11/06/2023,435.69,67831660,435.47,436.1498,433.68
11/03/2023,434.69,100167800,433.14,436.29,433.01
11/02/2023,430.76,94938910,426.58,430.915,426.56
11/01/2023,422.66,98068120,419.20,423.50,418.6499
10/31/2023,418.20,79665150,416.18,418.53,414.21
10/30/2023,415.59,86562680,413.56,416.68,412.22
10/27/2023,410.68,107367700,414.19,414.60,409.21
10/26/2023,412.55,115156800,416.45,417.325,411.60
10/25/2023,417.55,94223200,421.89,421.92,417.015
10/24/2023,423.63,78564240,422.65,424.82,420.74
10/23/2023,420.46,92035100,419.61,424.45,417.80
10/20/2023,421.19,123919900,425.98,426.54,421.08
10/19/2023,426.43,121323000,430.95,432.82,425.725
10/18/2023,430.21,93559800,434.19,435.18,429.09
10/17/2023,436.02,75324710,432.81,438.14,432.45
10/16/2023,436.04,75433190,433.82,437.14,433.57
